IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment
14932.0,35544.0,4707.0,14.3,17.7,37.2,9.4,33.0,13.7,6.8,78.6,11.6,0.0,1.2,0.0,8.5,29.2,1856,84.1,9.3,6.6,0.0,4.5
4765.0,21058.0,2604.0,11.3,20.2,24.7,16.7,33.5,8.4,16.7,92.5,5.2,0.0,0.1,0.6,1.6,23.6,4160,90.8,4.4,4.8,0.0,9.8
7113.0,35923.0,6847.0,7.5,3.9,34.7,23.4,26.0,7.0,8.9,78.8,10.7,0.0,1.5,2.2,6.8,21.5,4584,84.8,7.1,6.8,1.3,7.5
9084.0,44062.0,6332.0,6.2,5.5,46.7,13.6,27.2,7.4,5.2,79.5,14.7,0.0,0.7,1.2,3.9,25.5,1446,82.6,10.8,6.0,0.6,8.2
10387.0,23273.0,4826.0,24.9,29.2,17.3,30.5,25.1,13.6,13.5,66.4,13.0,0.0,10.9,1.5,8.1,17.2,1758,89.0,6.7,4.4,0.0,11.4
19790.0,30306.0,6979.0,21.6,35.9,35.7,17.4,39.3,7.0,0.6,72.9,18.8,0.0,0.0,5.2,3.1,25.0,1808,83.5,9.5,7.0,0.0,22.9
15281.0,31581.0,7705.0,5.8,0.0,15.4,31.4,39.6,11.1,2.5,79.1,8.4,0.0,4.4,0.0,8.1,19.1,280,72.9,18.6,8.6,0.0,18.8
14204.0,23583.0,3003.0,13.6,24.5,46.6,20.6,17.0,6.7,9.2,83.7,11.3,0.0,2.1,1.2,1.7,19.7,2496,77.1,17.8,4.0,1.0,6.9
8172.0,20085.0,2986.0,26.1,56.8,25.3,18.8,36.4,14.4,5.2,76.1,18.9,0.0,2.0,0.3,2.7,26.0,4466,77.6,15.2,7.3,0.0,15.3
6910.0,19546.0,3013.0,23.9,41.5,24.0,26.6,20.9,12.8,15.8,84.4,7.0,0.0,1.8,0.2,6.6,28.5,2901,75.9,12.5,11.3,0.3,6.8
4891.0,26699.0,3180.0,8.5,9.9,27.6,29.6,19.0,10.6,13.1,90.2,4.6,0.9,0.0,2.4,1.9,31.8,2077,82.4,10.8,6.1,0.8,3.0
,,,,,,,,,,,,,,,,,0,,,,,
11339.0,19383.0,2706.0,23.8,44.8,31.5,16.2,20.0,5.8,26.5,83.0,9.0,0.0,1.9,2.9,3.2,27.8,1308,70.2,23.4,6.4,0.0,21.0
3952.0,12346.0,1764.0,30.1,43.2,21.5,20.0,27.5,6.9,24.1,78.9,12.6,0.0,4.0,3.3,1.2,24.9,873,66.8,28.8,4.5,0.0,22.9
